algorithm,sequence,domain.size,count,compilation.time,inference.time
greedy,a68156,1,3,1215,4
greedy,a68156,2,9,1215,3
greedy,a68156,3,21,1215,2
greedy,a68156,4,45,1215,2
greedy,a68156,5,93,1215,3
greedy,a68156,6,189,1215,3
greedy,a68156,7,381,1215,3
greedy,a68156,8,765,1215,3
greedy,a68156,9,1533,1215,3
greedy,a68156,10,3069,1215,3
bfs,a337852,1,5,1503,5
bfs,a337852,2,81,1503,2
bfs,a337852,3,4913,1503,2
bfs,a337852,4,1185921,1503,2
bfs,a337852,5,1160290625,1503,2
bfs,a337852,6,4608273662721,1503,3
bfs,a337852,7,74051159531521793,1503,3
bfs,a337852,8,4796659837465472798721,1503,3
bfs,a337852,9,1248862969947666168212890625,1503,3
bfs,a337852,10,1304426412609681656861792686592001,1503,3
bfs,a93069,1,7,1449,4
bfs,a93069,2,23,1449,2
bfs,a93069,3,79,1449,2
bfs,a93069,4,287,1449,2
bfs,a93069,5,1087,1449,2
bfs,a93069,6,4223,1449,2
bfs,a93069,7,16639,1449,2
bfs,a93069,8,66047,1449,2
bfs,a93069,9,263167,1449,2
bfs,a93069,10,1050623,1449,2
greedy,a180602,1,3,1398,6
greedy,a180602,2,49,1398,3
greedy,a180602,3,3375,1398,2
greedy,a180602,4,923521,1398,2
greedy,a180602,5,992436543,1398,2
greedy,a180602,6,4195872914689,1398,3
greedy,a180602,7,70110209207109375,1398,2
greedy,a180602,8,4649081944211090042881,1398,3
greedy,a180602,9,1227102111503512992112190463,1398,4
greedy,a180602,10,1291749870339606615892191271170049,1398,3
bfs,a134485,1,2,1116,5
bfs,a134485,2,13,1116,3
bfs,a134485,3,305,1116,3
bfs,a134485,4,26881,1116,3
bfs,a134485,5,9078017,1116,3
bfs,a134485,6,11882207233,1116,4
bfs,a134485,7,60716967030785,1116,3
bfs,a134485,8,1217207202583019521,1116,3
bfs,a134485,9,96068905115897742032897,1116,3
bfs,a134485,10,29929069804525281689001787393,1116,3
bfs,a135748,1,3,1143,6
bfs,a135748,2,21,1143,3
bfs,a135748,3,567,1143,4
bfs,a135748,4,67689,1143,3
bfs,a135748,5,33887403,1143,3
bfs,a135748,6,68921796861,1143,3
bfs,a135748,7,563431696713567,1143,3
bfs,a135748,8,18451249599365935569,1143,4
bfs,a135748,9,2418017680197896730749523,1143,3
