algorithm,sequence,domain.size,count,compilation.time,inference.time
bfs,bijections,1,1,1037,4
bfs,bijections,2,2,1037,2
bfs,bijections,3,6,1037,2
bfs,bijections,4,24,1037,1
bfs,bijections,5,120,1037,1
bfs,bijections,6,720,1037,1
bfs,bijections,7,5040,1037,1
bfs,bijections,8,40320,1037,2
bfs,bijections,9,362880,1037,2
bfs,bijections,10,3628800,1037,1
bfs,bijections,11,39916800,1037,1
bfs,bijections,12,479001600,1037,1
bfs,bijections,13,6227020800,1037,1
bfs,bijections,14,87178291200,1037,1
bfs,bijections,15,1307674368000,1037,2
bfs,bijections,16,20922789888000,1037,2
bfs,bijections,17,355687428096000,1037,2
bfs,bijections,18,6402373705728000,1037,2
bfs,bijections,19,121645100408832000,1037,1
bfs,bijections,20,2432902008176640000,1037,2
bfs,bijections,21,51090942171709440000,1037,2
bfs,bijections,22,1124000727777607680000,1037,1
bfs,bijections,23,25852016738884976640000,1037,2
bfs,bijections,24,620448401733239439360000,1037,2
bfs,bijections,25,15511210043330985984000000,1037,2
bfs,bijections,26,403291461126605635584000000,1037,2
bfs,bijections,27,10888869450418352160768000000,1037,1
bfs,bijections,28,304888344611713860501504000000,1037,2
bfs,bijections,29,8841761993739701954543616000000,1037,2
bfs,bijections,30,265252859812191058636308480000000,1037,2
bfs,bijections,31,8222838654177922817725562880000000,1037,2
bfs,bijections,32,263130836933693530167218012160000000,1037,2
bfs,bijections,33,8683317618811886495518194401280000000,1037,2
bfs,bijections,34,295232799039604140847618609643520000000,1037,2
bfs,bijections,35,10333147966386144929666651337523200000000,1037,2
bfs,functions,1,1,880,3
bfs,functions,2,4,880,1
bfs,functions,3,27,880,1
bfs,functions,4,256,880,1
bfs,functions,5,3125,880,1
bfs,functions,6,46656,880,2
bfs,functions,7,823543,880,1
bfs,functions,8,16777216,880,2
bfs,functions,9,387420489,880,1
bfs,functions,10,10000000000,880,1
bfs,functions,11,285311670611,880,1
bfs,functions,12,8916100448256,880,1
bfs,functions,13,302875106592253,880,1
bfs,functions,14,11112006825558016,880,1
bfs,functions,15,437893890380859375,880,2
bfs,functions,16,18446744073709551616,880,2
bfs,functions,17,827240261886336764177,880,1
bfs,functions,18,39346408075296537575424,880,1
bfs,functions,19,1978419655660313589123979,880,4
bfs,functions,20,104857600000000000000000000,880,2
bfs,functions,21,5842587018385982521381124421,880,2
bfs,functions,22,341427877364219557396646723584,880,2
bfs,functions,23,20880467999847912034355032910567,880,2
bfs,functions,24,1333735776850284124449081472843776,880,1
bfs,functions,25,88817841970012523233890533447265625,880,1
bfs,functions,26,6156119580207157310796674288400203776,880,1
bfs,functions,27,443426488243037769948249630619149892803,880,1
bfs,functions,28,33145523113253374862572728253364605812736,880,1
bfs,functions,29,2567686153161211134561828214731016126483469,880,1
bfs,functions,30,205891132094649000000000000000000000000000000,880,2
bfs,functions,31,17069174130723235958610643029059314756044734431,880,2
bfs,functions,32,1461501637330902918203684832716283019655932542976,880,2
bfs,functions,33,129110040087761027839616029934664535539337183380513,880,1
bfs,functions,34,11756638905368616011414050501310355554617941909569536,880,2
bfs,functions,35,1102507499354148695951786433413508348166942596435546875,880,1
forclift,functions,1,1,203.0,67
forclift,functions,2,4,203.0,67
forclift,functions,3,27,212.0,68
forclift,functions,4,256,219.0,71
forclift,functions,5,3125,210.0,70
forclift,functions,6,46656,215.0,65
forclift,functions,7,823543,213.0,67
forclift,functions,8,16777216,213.0,67
forclift,functions,9,387420489,212.0,68
forclift,functions,10,10000000000,247.0,73
forclift,functions,11,285311670611,223.0,67
forclift,functions,12,8916100448256,211.0,69
forclift,functions,13,302875106592253,227.0,73
forclift,functions,14,11112006825558052,218.0,72
forclift,functions,15,437893890380862272,219.0,71
forclift,functions,16,18446744073709654016,212.0,68
forclift,functions,17,827240261886328438784,213.0,67
forclift,functions,18,39346408075294528241664,211.0,69
forclift,functions,19,1978419655660372951564288,219.0,71
forclift,functions,20,104857599999998780229287936,224.0,66
forclift,functions,21,5842587018385971344998137856,213.0,67
forclift,functions,22,341427877364247847743952781312,210.0,70
forclift,functions,23,20880467999847757492362028253184,219.0,71
forclift,functions,24,1333735776850368864179670076096512,210.0,70
forclift,functions,25,88817841970009781445620470860742656,247.0,73
forclift,functions,26,6156119580207385608824638394106642432,211.0,69
forclift,functions,27,443426488243041509090105114061116014592,220.0,70
forclift,functions,28,33145523113252026294206344839516806709248,218.0,72
forclift,functions,29,2567686153161252750587583418896724617330688,215.0,65
forclift,functions,30,205891132094663251093034942056072360474181632,211.0,69
forclift,functions,31,17069174130724659258505617696775578031103148032,215.0,65
forclift,functions,32,1461501637330674294882632471087264286239436570624,209.0,71
forclift,functions,33,129110040087789384040291638238135801322359750656000,208.0,72
forclift,functions,34,11756638905370293149358622669512591741130014843731968,219.0,71
forclift,functions,35,1102507499354056662066737572857406570593416602982547456,208.0,72
fastwfomc,functions,1,1,0.0,200.0
fastwfomc,functions,2,4,0.0,210.0
fastwfomc,functions,3,27,0.0,210.0
fastwfomc,functions,4,256,0.0,200.0
fastwfomc,functions,5,3125,0.0,210.0
fastwfomc,functions,6,46656,0.0,220.0
fastwfomc,functions,7,823543,0.0,240.0
fastwfomc,functions,8,16777216,0.0,260.0
fastwfomc,functions,9,387420489,0.0,290.0
fastwfomc,functions,10,10000000000,0.0,350.0
fastwfomc,functions,11,285311670611,0.0,410.0
fastwfomc,functions,12,8916100448256,0.0,460.0
fastwfomc,functions,13,302875106592253,0.0,590.0
fastwfomc,functions,14,11112006825558016,0.0,730.0
fastwfomc,functions,15,437893890380859375,0.0,900.0
fastwfomc,functions,16,18446744073709551616,0.0,2009.9999999999998
fastwfomc,functions,17,827240261886336764177,0.0,1340.0
fastwfomc,functions,18,39346408075296537575424,0.0,2600.0
fastwfomc,functions,19,1978419655660313589123979,0.0,3070.0
fastwfomc,functions,20,104857600000000000000000000,0.0,3490.0
fastwfomc,functions,21,5842587018385982521381124421,0.0,5170.0
fastwfomc,functions,22,341427877364219557396646723584,0.0,5210.0
fastwfomc,functions,23,20880467999847912034355032910567,0.0,7400.0
fastwfomc,functions,24,1333735776850284124449081472843776,0.0,8900.0
fastwfomc,functions,25,88817841970012523233890533447265625,0.0,8540.0
fastwfomc,functions,26,6156119580207157310796674288400203776,0.0,13310.0
fastwfomc,functions,27,443426488243037769948249630619149892803,0.0,16160.0
fastwfomc,functions,28,33145523113253374862572728253364605812736,0.0,19680.0
fastwfomc,functions,29,2567686153161211134561828214731016126483469,0.0,26130.0
fastwfomc,functions,30,205891132094649000000000000000000000000000000,0.0,25690.0
fastwfomc,functions,31,17069174130723235958610643029059314756044734431,0.0,33360.0
fastwfomc,functions,32,1461501637330902918203684832716283019655932542976,0.0,44910.0
fastwfomc,functions,33,129110040087761027839616029934664535539337183380513,0.0,49130.0
fastwfomc,functions,34,11756638905368616011414050501310355554617941909569536,0.0,64629.99999999999
fastwfomc,functions,35,1102507499354148695951786433413508348166942596435546875,0.0,78330.0
fastwfomc,bijections,1,1,0.0,210.0
fastwfomc,bijections,2,2,0.0,210.0
fastwfomc,bijections,3,6,0.0,220.0
fastwfomc,bijections,4,24,0.0,220.0
fastwfomc,bijections,5,120,0.0,240.0
fastwfomc,bijections,6,720,0.0,260.0
fastwfomc,bijections,7,5040,0.0,300.0
fastwfomc,bijections,8,40320,0.0,340.0
fastwfomc,bijections,9,362880,0.0,410.0
fastwfomc,bijections,10,3628800,0.0,490.0
fastwfomc,bijections,11,39916800,0.0,600.0
fastwfomc,bijections,12,479001600,0.0,780.0
fastwfomc,bijections,13,6227020800,0.0,950.0
fastwfomc,bijections,14,87178291200,0.0,1240.0
fastwfomc,bijections,15,1307674368000,0.0,1550.0
fastwfomc,bijections,16,20922789888000,0.0,1970.0
fastwfomc,bijections,17,355687428096000,0.0,3400.0
fastwfomc,bijections,18,6402373705728000,0.0,3210.0
fastwfomc,bijections,19,121645100408832000,0.0,5780.0
fastwfomc,bijections,20,2432902008176640000,0.0,6000.0
fastwfomc,bijections,21,51090942171709440000,0.0,7110.0
fastwfomc,bijections,22,1124000727777607680000,0.0,11010.0
fastwfomc,bijections,23,25852016738884976640000,0.0,9550.0
fastwfomc,bijections,24,620448401733239439360000,0.0,16790.0
fastwfomc,bijections,25,15511210043330985984000000,0.0,19770.0
fastwfomc,bijections,26,403291461126605635584000000,0.0,21880.0
fastwfomc,bijections,27,10888869450418352160768000000,0.0,28100.0
fastwfomc,bijections,28,304888344611713860501504000000,0.0,27260.0
fastwfomc,bijections,29,8841761993739701954543616000000,0.0,42570.0
fastwfomc,bijections,30,265252859812191058636308480000000,0.0,48430.0
fastwfomc,bijections,31,8222838654177922817725562880000000,0.0,62580.0
fastwfomc,bijections,32,263130836933693530167218012160000000,0.0,67380.0
fastwfomc,bijections,33,8683317618811886495518194401280000000,0.0,79670.0
fastwfomc,bijections,34,295232799039604140847618609643520000000,0.0,103610.0
fastwfomc,bijections,35,10333147966386144929666651337523200000000,0.0,123870.0
greedy,functions,1,1,734,4
greedy,functions,2,4,734,1
greedy,functions,3,27,734,1
greedy,functions,4,256,734,1
greedy,functions,5,3125,734,1
greedy,functions,6,46656,734,1
greedy,functions,7,823543,734,1
greedy,functions,8,16777216,734,2
greedy,functions,9,387420489,734,2
greedy,functions,10,10000000000,734,1
greedy,functions,11,285311670611,734,1
greedy,functions,12,8916100448256,734,1
greedy,functions,13,302875106592253,734,1
greedy,functions,14,11112006825558016,734,1
greedy,functions,15,437893890380859375,734,1
greedy,functions,16,18446744073709551616,734,2
greedy,functions,17,827240261886336764177,734,2
greedy,functions,18,39346408075296537575424,734,2
greedy,functions,19,1978419655660313589123979,734,1
greedy,functions,20,104857600000000000000000000,734,1
greedy,functions,21,5842587018385982521381124421,734,1
greedy,functions,22,341427877364219557396646723584,734,1
greedy,functions,23,20880467999847912034355032910567,734,1
greedy,functions,24,1333735776850284124449081472843776,734,1
greedy,functions,25,88817841970012523233890533447265625,734,2
greedy,functions,26,6156119580207157310796674288400203776,734,2
greedy,functions,27,443426488243037769948249630619149892803,734,1
greedy,functions,28,33145523113253374862572728253364605812736,734,1
greedy,functions,29,2567686153161211134561828214731016126483469,734,1
greedy,functions,30,205891132094649000000000000000000000000000000,734,1
greedy,functions,31,17069174130723235958610643029059314756044734431,734,1
greedy,functions,32,1461501637330902918203684832716283019655932542976,734,1
greedy,functions,33,129110040087761027839616029934664535539337183380513,734,2
greedy,functions,34,11756638905368616011414050501310355554617941909569536,734,2
greedy,functions,35,1102507499354148695951786433413508348166942596435546875,734,1
