"","algorithm","sequence","domain.size","compilation.time","inference.time"
"1","bfs","bijections",1,7702,4
"2","bfs","bijections",2,7702,4
"3","bfs","bijections",4,7702,4
"4","bfs","bijections",8,7702,4
"5","bfs","bijections",16,7702,4
"6","bfs","bijections",32,7702,4
"7","bfs","bijections",64,7702,5
"8","bfs","bijections",128,7702,10
"9","bfs","bijections",256,7702,31
"10","bfs","bijections",512,7702,115
"11","bfs","bijections",1024,7702,457
"12","bfs","bijections",2048,7702,2085
"13","bfs","bijections",4096,7702,8800
"14","bfs","functions",1,2532,4
"15","bfs","functions",2,2532,3
"16","bfs","functions",4,2532,3
"17","bfs","functions",8,2532,3
"18","bfs","functions",16,2532,3
"19","bfs","functions",32,2532,3
"20","bfs","functions",64,2532,4
"21","bfs","functions",128,2532,3
"22","bfs","functions",256,2532,3
"23","bfs","functions",512,2532,3
"24","bfs","functions",1024,2532,4
"25","bfs","functions",2048,2532,4
"26","bfs","functions",4096,2532,4
"27","bfs","functions",8192,2532,6
"28","bfs","functions",16384,2532,8
"29","bfs","functions",32768,2532,18
"30","bfs","functions",65536,2532,36
"31","bfs","functions",131072,2532,81
"32","bfs","functions",262144,2532,200
"33","bfs","functions",524288,2532,476
"34","bfs","functions",1048576,2532,1223
"35","bfs","functions",2097152,2532,2902
"36","bfs","functions",4194304,2532,6517
"37","bfs","functions",8388608,2532,15761
"38","bfs","functions",16777216,2532,41275
"39","bfs","functions",33554432,2532,93389
"40","bfs","functions",67108864,2532,219729
"41","forclift","functions",2,440,110
"42","forclift","functions",4,380,110
"43","forclift","functions",8,383,107
"44","forclift","functions",16,382,108
"45","forclift","functions",32,381,109
"46","forclift","functions",64,391,109
"47","forclift","functions",128,388,112
"48","fastwfomc","friends",2,0,12130
"49","fastwfomc","friends",4,0,11070
"50","fastwfomc","friends",8,0,10880
"51","fastwfomc","friends",16,0,10930
"52","fastwfomc","friends",32,0,11270
"53","fastwfomc","friends",64,0,11380
"54","fastwfomc","friends",128,0,11550
"55","fastwfomc","friends",256,0,14780
"56","fastwfomc","friends",512,0,39000
"57","fastwfomc","friends",1024,0,465430
"58","greedy","friends",1,2196,4
"59","greedy","friends",2,2196,4
"60","greedy","friends",4,2196,3
"61","greedy","friends",8,2196,3
"62","greedy","friends",16,2196,3
"63","greedy","friends",32,2196,3
"64","greedy","friends",64,2196,3
"65","greedy","friends",128,2196,4
"66","greedy","friends",256,2196,15
"67","greedy","friends",512,2196,150
"68","greedy","friends",1024,2196,2003
"69","greedy","friends",2048,2196,21439
"70","greedy","friends",4096,2196,223526
"71","greedy","friends",8192,2196,2239937
"72","fastwfomc","functions",2,0,13310
"73","fastwfomc","functions",4,0,10570
"74","fastwfomc","functions",8,0,10810
"75","fastwfomc","functions",16,0,10530
"76","fastwfomc","functions",32,0,14250
"77","fastwfomc","functions",64,0,306300
"78","fastwfomc","bijections",2,0,23840
"79","fastwfomc","bijections",4,0,11340
"80","fastwfomc","bijections",8,0,11340
"81","fastwfomc","bijections",16,0,11490
"82","fastwfomc","bijections",32,0,17770
"83","fastwfomc","bijections",64,0,322750
"84","greedy","functions",1,2356,4
"85","greedy","functions",2,2356,3
"86","greedy","functions",4,2356,3
"87","greedy","functions",8,2356,3
"88","greedy","functions",16,2356,3
"89","greedy","functions",32,2356,3
"90","greedy","functions",64,2356,3
"91","greedy","functions",128,2356,4
"92","greedy","functions",256,2356,3
"93","greedy","functions",512,2356,3
"94","greedy","functions",1024,2356,4
"95","greedy","functions",2048,2356,4
"96","greedy","functions",4096,2356,4
"97","greedy","functions",8192,2356,6
"98","greedy","functions",16384,2356,8
"99","greedy","functions",32768,2356,17
"100","greedy","functions",65536,2356,36
"101","greedy","functions",131072,2356,81
"102","greedy","functions",262144,2356,198
"103","greedy","functions",524288,2356,470
"104","greedy","functions",1048576,2356,1161
"105","greedy","functions",2097152,2356,2859
"106","greedy","functions",4194304,2356,6394
"107","greedy","functions",8388608,2356,15548
"108","greedy","functions",16777216,2356,40551
"109","greedy","functions",33554432,2356,92815
"110","greedy","functions",67108864,2356,221742
"111","forclift","friends",2,524,106
"112","forclift","friends",4,365,105
"113","forclift","friends",8,369,101
"114","forclift","friends",16,368,102
"115","bfs","friends",1,2233,4
"116","bfs","friends",2,2233,4
"117","bfs","friends",4,2233,3
"118","bfs","friends",8,2233,3
"119","bfs","friends",16,2233,3
"120","bfs","friends",32,2233,3
"121","bfs","friends",64,2233,3
"122","bfs","friends",128,2233,4
"123","bfs","friends",256,2233,15
"124","bfs","friends",512,2233,150
"125","bfs","friends",1024,2233,2000
"126","bfs","friends",2048,2233,21354
"127","bfs","friends",4096,2233,223642
"128","bfs","friends",8192,2233,2239856
