id;sequence
020515;1,3,13,57,241,993,4033,16257,65281,261633,1047553,4192257,16773121,67100673,268419073,1073709057,4294901761,17179738113,68719214593,274877382657,1099510579201
206601;0,2,26,728,59048,14348906,10460353202,22876792454960,150094635296999120,2954312706550833698642,174449211009120179071170506,30903154382632612361920641803528,16423203268260658146231467800709255288,26183890704263137277674192438430182020124346
243918;1,4,32,814,86600,39560554,75654970772,594996059517934,19035905851947436400,2460857798358946973785234,1280109151917797032199865564812,2672783800502564772495577135824089014,22366199286781599568269093307412768076442280
062971;1,2,16,216,4096,100000,2985984,105413504,4294967296,198359290368,10240000000000,584318301411328,36520347436056576,2481152873203736576,182059119829942534144,14348907000000000000000,1208925819614629174706176,108428035605965932354207744
000351;1,5,25,125,625,3125,15625,78125,390625,1953125,9765625,48828125,244140625,1220703125,6103515625,30517578125,152587890625,762939453125,3814697265625,19073486328125,95367431640625,476837158203125,2384185791015625,11920928955078125
000169;1,2,9,64,625,7776,117649,2097152,43046721,1000000000,25937424601,743008370688,23298085122481,793714773254144,29192926025390625,1152921504606846976,48661191875666868481,2185911559738696531968,104127350297911241532841,5242880000000000000000000
062119;0,2,12,72,480,3600,30240,282240,2903040,32659200,399168000,5269017600,74724249600,1133317785600,18307441152000,313841848320000,5690998849536000,108840352997376000,2189611807358976000,46225138155356160000,1021818843434188800000
088668;1,6,112,7680,2031616,2113929216,8727373545472,143552238122434560,9426286221665580875776,2473462226931531291448836096,2594880778667185584863751461404672,10886377285478460999082179823696022077440,182665403921164334152319068371262729095485587456
155597;1,5,33,209,1281,7745,46593,279809,1679361,10077185,60465153,362795009,2176778241,13060685825,78364147713,470184951809,2821109841921,16926659313665,101559956406273,609359739486209,3656158439014401,21936950638280705,131621703838072833
128406;1,8,192,16384,5242880,6442450944,30786325577728,576460752303423488,42501298345826806923264,12379400392853802748991242240,14278816360970775978458864905355264,65334214448820184984967924626899496599552,1187470080331358621040493926581979953470445191168
171270;3,11,33,95,273,791,2313,6815,20193,60071,179193,535535,1602513,4799351,14381673,43112255,129271233,387682631,1162785753,3487832975,10462450353,31385253911,94151567433,282446313695,847322163873
337851;1,4,36,1000,104976,45435424,82653950016,627485170000000,19631688197463081216,2504194578379511247798784,1292628144912333835229805413376,2687153475176994340820312500000000000,22431765115399782718874449007331506546282496
053763;1,1,4,64,4096,1048576,1073741824,4398046511104,72057594037927936,4722366482869645213696,1237940039285380274899124224,1298074214633706907132624082305024,5444517870735015415413993718908291383296,91343852333181432387730302044767688728495783936
066052;0,0,2,14,94,644,4808,39556,360260,3619304,39881104,478861448,6226452296,87175900720,1307664018464,20922743681264,355687216296688,6402372708414176,121645095599130560,2432901984417975904,51090942051756747104,1124000727158723041088,25852016735627132757376
061190;1,0,2,24,252,3120,46650,823536,16777208,387420480,9999999990,285311670600,8916100448244,302875106592240,11112006825558002,437893890380859360,18446744073709551600,827240261886336764160,39346408075296537575406,1978419655660313589123960
002378;0,2,6,12,20,30,42,56,72,90,110,132,156,182,210,240,272,306,342,380,420,462,506,552,600,650,702,756,812,870,930,992,1056,1122,1190,1260,1332,1406,1482,1560,1640,1722,1806,1892,1980,2070,2162,2256,2352,2450,2550
006129;1,0,1,4,41,768,27449,1887284,252522481,66376424160,34509011894545,35645504882731588,73356937912127722841,301275024444053951967648,2471655539737552842139838345,40527712706903544101000417059892,1328579255614092968399503598175745633
005056;1,4,12,34,96,274,792,2314,6816,20194,60072,179194,535536,1602514,4799352,14381674,43112256,129271234,387682632,1162785754,3487832976,10462450354,31385253912,94151567434,282446313696,847322163874,2541932937192,7625731702714
145641;5,51,455,3855,31775,258111,2080895,16711935,133956095,1072694271,8585742335,68702703615,549688713215,4397778092031,35183298379775,281470681808895,2251782633947135,18014329790267391,144114913198473215,1152920405096267775,9223367638810361855
155612;1,5,41,317,2321,16565,116921,821357,5758241,40333925,282416201,1977149597,13840755761,96887416085,678218289881,4747547161037,33232887522881,232630384847045,1628413210489961,11398894023111677
122743;1,6,56,960,31744,2064384,266338304,68451041280,35115652612096,35993612646875136,73750947497819242496,302157667927362455470080,2475577847115856892504571904,40562343327224770087344704323584,1329187430965708569562959165777772544
005367;4,18,70,270,1054,4158,16510,65790,262654,1049598,4196350,16781310,67117054,268451838,1073774590,4295032830,17180000254,68719738878,274878431230,1099512676350,4398048608254,17592190238718
048861;0,3,26,255,3124,46655,823542,16777215,387420488,9999999999,285311670610,8916100448255,302875106592252,11112006825558015,437893890380859374,18446744073709551615,827240261886336764176,39346408075296537575423,1978419655660313589123978
037184;6,48,420,3840,38010,407904,4739112,59405760,800309070,11542072080,177536452236,2902434644928,50271450894210,919799178083520,17730187503894480,359183503307677824,7629999730919490582,169605272611054951920,3937616869933172881140
170940;0,10,54,238,990,4030,16254,65278,261630,1047550,4192254,16773118,67100670,268419070,1073709054,4294901758,17179738110,68719214590,274877382654,1099510579198,4398044413950,17592181850110,70368735789054,281474959933438,1125899873288190
058877;0,2,9,28,75,186,441,1016,2295,5110,11253,24564,53235,114674,245745,524272,1114095,2359278,4980717,10485740,22020075,46137322,96468969,201326568,419430375,872415206,1811939301,3758096356,7784628195,16106127330,33285996513
246189;1,6,51,580,8265,141246,2810437,63748728,1622579985,45775778950,1417347491241,47776074289164,1741386177576409,68238497945688630,2860625245955274225,127736893134458097136,6052712065187733972513,303322427195785592735502,16028016368907840953165425
326555;1,5,169,42875,88529281,1572763671875,248679006649044049,356333757516508153671875,4663869092837765297703279248641,558720643076358108093837582958513671875,612058887069969285456490153219530731912451357649,6117651922857367443605981033627635368555142419249951171875,556511030566224080586773690363350894350192064787062589546222802473281
001020;1,11,121,1331,14641,161051,1771561,19487171,214358881,2357947691,25937424601,285311670611,3138428376721,34522712143931,379749833583241,4177248169415651,45949729863572161,505447028499293771,5559917313492231481,61159090448414546291
000027;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
066068;1,2,6,30,260,3130,46662,823550,16777224,387420498,10000000010,285311670622,8916100448268,302875106592266,11112006825558030,437893890380859390,18446744073709551632,827240261886336764194
176043;1,1,3,20,189,2304,34375,606528,12353145,285212672,7360989291,210000000000,6562168424053,222902511206400,8177627877990831,322248197941182464,13574710601806640625,608742554432415203328,28953409166021786746195,1455817098785971890290688,77158366570752229975835181
337852;1,5,81,4913,1185921,1160290625,4608273662721,74051159531521793,4796659837465472798721,1248862969947666168212890625,1304426412609681656861792686592001,5459157240288132828933147334116110282753,91477746675481294892349178081259839233191936001
109345;1,1,5,125,15625,9765625,30517578125,476837158203125,37252902984619140625,14551915228366851806640625,28421709430404007434844970703125
047656;1,1,3,27,729,59049,14348907,10460353203,22876792454961,150094635296999121,2954312706550833698643,174449211009120179071170507,30903154382632612361920641803529,16423203268260658146231467800709255289,26183890704263137277674192438430182020124347
083323;1,2,6,20,66,212,666,2060,6306,19172,58026,175100,527346,1586132,4766586,14316140,42981186,129009092,387158346,1161737180,3485735826,10458256052,31376865306,94134790220,282412759266,847255055012
000354;1,1,5,29,233,2329,27949,391285,6260561,112690097,2253801941,49583642701,1190007424825,30940193045449,866325405272573,25989762158177189,831672389061670049,28276861228096781665,1017967004211484139941,38682746160036397317757
000165;1,2,8,48,384,3840,46080,645120,10321920,185794560,3715891200,81749606400,1961990553600,51011754393600,1428329123020800,42849873690624000,1371195958099968000,46620662575398912000,1678343852714360832000,63777066403145711616000
133460;1,6,144,13824,5308416,8153726976,50096498540544,1231171548132409344,121029087867608368152576,47590573814949492091483324416,74853500292876717928978827574247424
251183;1,2,20,662,80744,38724842,75185316860,593940189201662,19026394370724334544,2460515237682283759296722,1280059938187721964276628432100,2672755638642586172344574379667166822,22366135140308331991861876017552822964355384,749476887752252949738787898479359344347670538150842
000420;1,7,49,343,2401,16807,117649,823543,5764801,40353607,282475249,1977326743,13841287201,96889010407,678223072849,4747561509943,33232930569601,232630513987207,1628413597910449,11398895185373143,79792266297612001,558545864083284007
060867;1,9,49,225,961,3969,16129,65025,261121,1046529,4190209,16769025,67092481,268402689,1073676289,4294836225,17179607041,68718952449,274876858369,1099509530625,4398042316801,17592177655809,70368727400449,281474943156225,1125899839733761
109354;1,1,6,216,46656,60466176,470184984576,21936950640377856,6140942214464815497216,10314424798490535546171949056,103945637534048876111514866313854976,6285195213566005335561053533150026217291776,2280250319867037997421842330085227917956272625811456
099168;1,3,45,3375,1265625,2373046875,22247314453125,1042842864990234375,244416296482086181640625,286425347439944744110107421875,1678273520155926235020160675048828125
126884;2,3,9,65,1025,32769,2097153,268435457,68719476737,35184372088833,36028797018963969,73786976294838206465,302231454903657293676545,2475880078570760549798248449,40564819207303340847894502572033,1329227995784915872903807060280344577,87112285931760246646623899502532662132737
007778;0,1,8,81,1024,15625,279936,5764801,134217728,3486784401,100000000000,3138428376721,106993205379072,3937376385699289,155568095557812224,6568408355712890625,295147905179352825856,14063084452067724991009,708235345355337676357632
324306;1,2,14,464,62498,32904512,68218246274,561509337384704,18430991691638470658,2417187707139291150820352,1267541805135644381508133312514,2658386272482288686337601015526764544,22300569741768576670596245546950890721591298,748287098859335987804516114266959555239667124355072,100433559671950042126701317490712783944232737693284609851394
081626;1,8,56,368,2336,14528,89216,543488,3293696,19893248,119883776,721399808,4336787456,26054279168,156459892736,939296227328,5637924847616,33836139020288,203051193860096,1218444602114048
155611;1,4,28,190,1216,7534,45928,277750,1673056,10058014,60407128,362619910,2176250896,13059099694,78359381128,470170635670,2821066860736,16926530304574,101559569247928,609358577749030,3656154953278576
058481;1,7,25,79,241,727,2185,6559,19681,59047,177145,531439,1594321,4782967,14348905,43046719,129140161,387420487,1162261465,3486784399,10460353201,31381059607,94143178825,282429536479,847288609441
155599;1,7,61,505,4081,32737,262081,2097025,16776961,134217217,1073740801,8589932545,68719472641,549755805697,4398046494721,35184372056065,281474976645121,2251799813554177,18014398509219841,144115188075331585
098916;0,4,36,288,2400,21600,211680,2257920,26127360,326592000,4390848000,63228211200,971415244800,15866448998400,274611617280000,5021469573120000,96746980442112000,1959126353952768000
134485;1,2,13,305,26881,9078017,11882207233,60716967030785,1217207202583019521,96068905115897742032897,29929069804525281689001787393,36877162272858587692985585499111425
083667;1,2,12,216,11664,1889568,918330048,1338925209984,5856458868470016,76848453272063549952,3025216211508053707410432,357271984146678126737757198336,126579320351263180234426948827254784
005019;1,7,169,14911,4925281,6195974527,30074093255809,568640725896660991,42170765737391337500161,12325140160135610565932361727,14244006984657003076298588475598849
202989;1,4,100,21952,45212176,864866612224,151334226289000000,240066313618039143841792,3437872835498096514323500400896,443629285048033016198674962874808664064,515464807019389919369209932597753906250000000000
322661;1,1,5,45,809,28217,1914733,254409765,66628946641,34575388318705,35680013894626133,73392583417010454429,301348381381966079690489,2471956814761996896091805993,40530184362443281653842556898237,1328619783326799871943604598592805525
047863;1,2,6,26,162,1442,18306,330626,8488962,309465602,16011372546,1174870185986,122233833963522,18023122242478082,3765668654914699266,1114515608405262434306,467221312005126294077442,277362415313453291571118082
126883;0,1,7,63,1023,32767,2097151,268435455,68719476735,35184372088831,36028797018963967,73786976294838206463,302231454903657293676543,2475880078570760549798248447,40564819207303340847894502572031,1329227995784915872903807060280344575
027649;1,4,14,46,146,454,1394,4246,12866,38854,117074,352246,1058786,3180454,9549554,28665046,86027906,258149254,774578834,2323998646,6972520226,20918609254,62757924914,188277969046
055601;1,1,9,343,50625,28629151,62523502209,532875860165503,17878103347812890625,2375680873491867011912191,1255325460068093790930770843649,2644211984585174742731315532085090303,22235498641774645581443610453175918212890625
212291;1,1,1,5,17,89,529,3709,29665,266993,2669921,29369141,352429681,4581585865,64142202097,962133031469,15394128503489,261700184559329,4710603322067905,89501463119290213,1790029262385804241,37590614510101889081,826993519222241559761
053764;1,1,9,729,531441,3486784401,205891132094649,109418989131512359209,523347633027360537213511521,22528399544939174411840147874772641,8727963568087712425891397479476727340041449,30432527221704537086371993251530170531786747066637049,955004950796825236893190701774414011919935138974343129836853841,269721605590607563262106870407286853611938890184108047911269431464974473521
033540;1,2,6,21,88,445,2676,18739,149920,1349289,13492900,148421911,1781062944,23153818285,324153456004,4862301840075,77796829441216,1322546100500689,23805829809012420,452310766371235999,9046215327424720000,189970521875919120021
173403;1,1,13,469,63577,33231721,68519123173,562469619451069,18442242396353040817,2417685638793025070212561,1267626422541873052658376446653,2658442047546208031914776455678477989,22300713297142388711251601783864453690641417
086193;1,0,1,18,1699,592260,754179301,3562635108438,63770601591579079,4405870283636411477640,1190873924687350003735546441,1270602397076493907445608866890778,5381240610642043789096251476993474339179
